ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
665,Quackshot,1995,2,4,10,6,82.0,6.68,9588.0,1.0,78,Unknown,Children's Games
257273,Ghosts of the Moor,2018,2,5,30,8,156.0,6.12,9589.0,1.0,240,"Roll / Spin and Move, Set Collection","Children's Games, Family Games"
8707,"Jacob Marley, Esq.",2004,3,6,90,10,121.0,6.23,9590.0,2.18,367,"Commodity Speculation, Roll / Spin and Move",Strategy Games
168653,Wilderness Empires,2015,1,4,90,8,68.0,7.03,9591.0,2.0,232,"Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Team-Based Game",Wargames
30022,Quatre Bras: Stalemate on the Brussels Road,1976,2,2,120,14,57.0,7.11,9592.0,2.0,137,Hexagon Grid,Wargames
7253,A Raging Storm,1997,2,2,60,12,70.0,6.86,9593.0,3.7,356,"Dice Rolling, Hexagon Grid, Simulation",Wargames
47484,Strange Aeons,2009,2,2,45,0,43.0,8.24,9594.0,2.5,117,"Action Points, Campaign / Battle Card Driven, Dice Rolling, Storytelling, Variable Player Powers","Thematic Games, Wargames"
237798,The Wilson Wolfe Affair,2017,1,10,0,13,43.0,7.93,9595.0,4.0,229,"Cooperative Game, Storytelling",Unknown
263312,Pathogenesis (Second Edition),2019,1,4,60,14,57.0,7.19,9596.0,2.0,230,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Team-Based Game",Unknown
66809,Flying Lead,2010,2,0,60,10,47.0,7.36,9597.0,2.67,149,Dice Rolling,Wargames
144955,Murder in Greenrock Village Theatre,2009,1,1,30,12,89.0,6.56,9598.0,2.8,256,Unknown,Unknown
304821,Animal Upon Animal: Christmas Edition,2020,2,4,20,5,44.0,7.46,9599.0,0.0,148,"Dice Rolling, Stacking and Balancing",Unknown
2366,Quinto,1964,2,4,30,8,204.0,6.03,9600.0,1.87,937,Tile Placement,Abstract Games
166888,Costa Ruana,2014,2,6,60,8,114.0,6.26,9601.0,2.0,261,Area Majority / Influence,Unknown
261614,Unanimo Party,2018,3,12,30,10,53.0,7.12,9602.0,1.0,110,Paper-and-Pencil,Unknown
